,#,Exchange ticker,Companies,Sector,Date Added
0,1,500820,Asian Paints,Paints & Varnishes,21 December 2015[3]
1,2,532215,Axis Bank,Banking,
2,3,532977,Bajaj Auto,Automotive,
3,4,500034,Bajaj Finance,Finance,24 December 2018[4]
4,5,532454,Bharti Airtel,Telecommunications,
5,6,532281,HCL Technologies Ltd,Software,
6,7,500180,HDFC Bank,Banking,
7,8,500182,Hero MotoCorp,Automotive,
8,9,500696,Hindustan Unilever,Personal Care,
9,10,500010,Housing Development Finance Corporation,Finance,
10,11,532174,ICICI Bank,Banking,
11,12,532187,IndusInd Bank,Banking,18 December 2017[5]
12,13,500209,Infosys,Software,
13,14,500875,ITC,Cigarettes & FMCG,
14,15,500247,Kotak Mahindra Bank,Banking,19 June 2017[6]
15,16,500510,Larsen & Toubro,Infrastructure,
16,17,500520,Mahindra & Mahindra,Automotive,
17,18,532500,Maruti Suzuki,Automotive,
18,19,500790,Nestle India Ltd,,23 Dec 2019[7]
19,20,532555,NTPC,Power,
20,21,500312,Oil and Natural Gas Corporation,Oil & Gas,
21,22,532898,Power Grid Corporation of India,Power,20 June 2016[8]
22,23,500325,Reliance Industries,Conglomerate,
23,24,500112,State Bank of India,Banking,
24,25,524715,Sun Pharmaceutical,Pharmaceutical,8 August 2011[9]
25,26,532540,Tata Consultancy Services,Software,
26,27,500470,Tata Steel,Steel,
27,28,532755,Tech Mahindra Ltd,Software,
28,29,500114,Titan Co Ltd,,23 Dec 2019[7]
29,30,532538,UltraTech Cement Ltd,,23 Dec 2019[7]
